Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
HeadHunter,1,157,27,Collided with itself,,,
HeadHunter,2,314,59,Collided with itself,,,
HeadHunter,3,93,15,Collided with itself,,,
HeadHunter,4,181,36,Collided with itself,,,
HeadHunter,5,150,27,Collided with itself,,,
HeadHunter,6,263,44,Collided with itself,,,
HeadHunter,7,231,38,Collided with itself,,,
HeadHunter,8,291,52,Collided with itself,,,
HeadHunter,9,171,35,Collided with itself,,,
HeadHunter,10,346,54,Collided with itself,,,
HeadHunter,11,273,48,Collided with itself,,,
HeadHunter,12,256,44,Collided with itself,,,
HeadHunter,13,183,32,Collided with itself,,,
HeadHunter,14,353,52,Collided with itself,,,
HeadHunter,15,269,58,Collided with itself,,,
HeadHunter,16,369,62,Collided with itself,,,
HeadHunter,17,218,40,Collided with itself,,,
HeadHunter,18,220,35,Collided with itself,,,
HeadHunter,19,62,16,Collided with itself,,,
HeadHunter,20,245,39,Collided with itself,,,
HeadHunter,21,343,61,Collided with itself,,,
HeadHunter,22,285,49,Collided with itself,,,
HeadHunter,23,343,53,Collided with itself,,,
HeadHunter,24,307,52,Collided with itself,,,
HeadHunter,25,56,16,Collided with itself,,,
HeadHunter,26,239,29,Collided with itself,,,
HeadHunter,27,183,31,Collided with itself,,,
HeadHunter,28,200,39,Collided with itself,,,
HeadHunter,29,224,39,Collided with itself,,,
HeadHunter,30,157,25,Collided with itself,,,
NomNom v HeadHunter,1,7,4,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter,2,114,16,N/A,Y,1,
NomNom v HeadHunter,3,15,5,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter,4,39,7,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter,5,11,5,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter,6,5,4,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter,7,10,5,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter,8,38,8,N/A,Y,1,
NomNom v HeadHunter,9,8,5,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter,10,16,5,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter,11,8,5,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter,12,11,6,Lost head-to-head with NomNom,T,1,
NomNom v HeadHunter,13,9,5,N/A,Y,1,
NomNom v HeadHunter,14,12,4,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter,15,10,5,Lost head-to-head with NomNom,N,0,
NomNom v HeadHunter,16,7,4,Lost head-to-head with NomNom,T,1,
