Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
Hot Soup,1,848,87,Collided with itself,N/A,N/A,
Hot Soup,2,987,99,Moved out of bounds,N/A,N/A,
Hot Soup,3,863,100,Collided with itself,N/A,N/A,
Hot Soup,4,929,111,Moved out of bounds,N/A,N/A,
Hot Soup,5,1035,77,Collided with itself,N/A,N/A,
Hot Soup,6,1205,109,Moved out of bounds,N/A,N/A,
Hot Soup,7,1196,68,Collided with itself,N/A,N/A,
Hot Soup,8,1087,117,Collided with itself,N/A,N/A,
Hot Soup,9,1062,109,Collided with itself,N/A,N/A,
Hot Soup,10,923,105,Moved out of bounds,N/A,N/A,
Hot Soup,11,1130,92,Collided with itself,N/A,N/A,
Hot Soup,12,989,109,Collided with itself,N/A,N/A,
Hot Soup,13,972,59,Collided with itself,N/A,N/A,
Hot Soup,14,843,97,Collided with itself,N/A,N/A,
Hot Soup,15,899,96,Collided with itself,N/A,N/A,
Hot Soup,16,1165,108,Collided with itself,N/A,N/A,
Hot Soup,17,860,58,Collided with itself,N/A,N/A,
Hot Soup,18,821,93,Moved out of bounds,N/A,N/A,
Hot Soup,19,807,106,Collided with itself,N/A,N/A,
Hot Soup,20,844,99,Moved out of bounds,N/A,N/A,
Hot Soup,21,842,100,Moved out of bounds,N/A,N/A,
Hot Soup,22,1067,103,Collided with itself,N/A,N/A,
Hot Soup,23,1017,60,Collided with itself,N/A,N/A,
Hot Soup,24,619,93,Collided with itself,N/A,N/A,
Hot Soup,25,1212,116,Collided with itself,N/A,N/A,
Hot Soup,26,1039,87,Collided with itself,N/A,N/A,
Hot Soup,27,923,109,Collided with itself,N/A,N/A,
Hot Soup,28,1020,67,Moved out of bounds,N/A,N/A,
Hot Soup,29,848,101,Collided with itself,N/A,N/A,
Hot Soup,30,973,86,Collided with itself,N/A,N/A,
NomNom v Hot Soup,1,285,22,N/A,Y,0,
NomNom v Hot Soup,2,9,5,Lost head-to-head with NomNom,T,1,
NomNom v Hot Soup,3,84,12,Collided with itself,N,0,
NomNom v Hot Soup,4,179,16,Collided with itself,N,0,
NomNom v Hot Soup,5,172,21,N/A,Y,1,
NomNom v Hot Soup,6,31,7,N/A,Y,1,
NomNom v Hot Soup,7,149,10,N/A,Y,0,
NomNom v Hot Soup,8,99,12,N/A,Y,1,
NomNom v Hot Soup,9,186,19,Lost head-to-head with NomNom,N,0,
NomNom v Hot Soup,10,17,5,N/A,Y,1,
NomNom v Hot Soup,11,106,14,N/A,Y,1,
NomNom v Hot Soup,12,152,15,N/A,Y,0,
NomNom v Hot Soup,13,100,13,N/A,Y,1,
NomNom v Hot Soup,14,28,6,N/A,Y,1,
NomNom v Hot Soup,15,151,11,N/A,Y,0,
NomNom v Hot Soup,16,79,12,Collided with itself,N,0,
NomNom v Hot Soup,17,19,5,N/A,Y,1,
NomNom v Hot Soup,18,54,10,Lost head-to-head with NomNom,T,1,
NomNom v Hot Soup,19,179,16,N/A,Y,0,
NomNom v Hot Soup,20,190,20,Ran into NomNom's body,N,0,
NomNom v Hot Soup,21,19,5,N/A,Y,1,
NomNom v Hot Soup,22,69,5,N/A,Y,1,
NomNom v Hot Soup,23,154,15,N/A,Y,1,
NomNom v Hot Soup,24,89,13,Lost head-to-head with NomNom,N,0,
NomNom v Hot Soup,25,83,12,N/A,Y,1,
NomNom v Hot Soup,26,208,20,Lost head-to-head with NomNom,N,0,
NomNom v Hot Soup,27,82,8,Lost head-to-head with NomNom,N,0,
NomNom v Hot Soup,28,79,13,N/A,Y,1,
NomNom v Hot Soup,29,280,23,N/A,Y,0,
NomNom v Hot Soup,30,193,16,N/A,Y,0,
HeadHunter v Hot Soup,1,67,7,Lost head-to-head with HeadHunter,N,0,
HeadHunter v Hot Soup,2,13,5,N/A,Y,1,
HeadHunter v Hot Soup,3,86,10,N/A,Y,1,
HeadHunter v Hot Soup,4,170,18,N/A,Y,1,
HeadHunter v Hot Soup,5,208,24,N/A,Y,1,
HeadHunter v Hot Soup,6,17,5,Lost head-to-head with HeadHunter,T,1,
HeadHunter v Hot Soup,7,122,16,N/A,Y,0,
HeadHunter v Hot Soup,8,206,19,Lost head-to-head with HeadHunter,T,0,
HeadHunter v Hot Soup,9,76,9,Lost head-to-head with HeadHunter,N,0,
HeadHunter v Hot Soup,10,136,17,Collided with itself,N,0,
HeadHunter v Hot Soup,11,46,6,Moved out of bounds,N,0,
HeadHunter v Hot Soup,12,143,18,N/A,Y,1,
HeadHunter v Hot Soup,13,56,5,Lost head-to-head with HeadHunter,N,0,
HeadHunter v Hot Soup,14,168,17,N/A,Y,1,
HeadHunter v Hot Soup,15,102,10,N/A,Y,1,
HeadHunter v Hot Soup,16,150,17,N/A,Y,0,
HeadHunter v Hot Soup,17,28,7,Lost head-to-head with HeadHunter,T,1,
HeadHunter v Hot Soup,18,29,7,N/A,Y,1,
HeadHunter v Hot Soup,19,12,5,N/A,Y,1,
HeadHunter v Hot Soup,20,69,9,N/A,Y,0,
HeadHunter v Hot Soup,21,75,6,Lost head-to-head with HeadHunter,N,0,
HeadHunter v Hot Soup,22,111,14,N/A,Y,1,
HeadHunter v Hot Soup,23,121,15,N/A,Y,0,
HeadHunter v Hot Soup,24,88,12,N/A,Y,1,
HeadHunter v Hot Soup,25,303,27,Collided with itself,N,0,
HeadHunter v Hot Soup,26,167,16,Moved out of bounds,N,0,
HeadHunter v Hot Soup,27,150,18,N/A,Y,1,
HeadHunter v Hot Soup,28,262,27,Lost head-to-head with HeadHunter,N,0,
HeadHunter v Hot Soup,29,206,22,N/A,Y,1,
HeadHunter v Hot Soup,30,25,7,Lost head-to-head with Hot Soup,T,1,
Noodle v Hot Soup,1,28,5,N/A,Y,1,
Noodle v Hot Soup,2,317,29,N/A,Y,0,
Noodle v Hot Soup,3,177,16,N/A,Y,0,
Noodle v Hot Soup,4,12,5,N/A,Y,1,
Noodle v Hot Soup,5,243,20,Lost head-to-head with Noodle,N,0,
Noodle v Hot Soup,6,276,22,Collided with Noodle's body,N,0,
Noodle v Hot Soup,7,45,10,N/A,Y,1,
Noodle v Hot Soup,8,115,11,Lost head-to-head with Noodle,N,0,
Noodle v Hot Soup,9,48,8,N/A,Y,1,
Noodle v Hot Soup,10,281,18,Collided with itself,N,0,
Noodle v Hot Soup,11,271,24,Moved out of bounds,N,0,
Noodle v Hot Soup,12,238,18,Lost head-to-head with Noodle,N,0,
