Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
NomNom,1,312,46,Collided with itself,N/A,N/A,
NomNom,2,264,38,Collided with itself,N/A,N/A,
NomNom,3,322,49,Collided with itself,N/A,N/A,
NomNom,4,231,40,Collided with itself,N/A,N/A,
NomNom,5,281,46,Collided with itself,N/A,N/A,
NomNom,6,211,39,Collided with itself,N/A,N/A,
NomNom,7,209,39,Collided with itself,N/A,N/A,
NomNom,8,213,33,Collided with itself,N/A,N/A,
NomNom,9,185,35,Collided with itself,N/A,N/A,
NomNom,10,344,52,Collided with itself,N/A,N/A,
NomNom,11,239,38,Collided with itself,N/A,N/A,
NomNom,12,190,29,Collided with itself,N/A,N/A,
NomNom,13,203,32,Collided with itself,N/A,N/A,
NomNom,14,110,16,Collided with itself,N/A,N/A,
NomNom,15,157,28,Collided with itself,N/A,N/A,
NomNom,16,131,25,Collided with itself,N/A,N/A,
NomNom,17,300,52,Collided with itself,N/A,N/A,
NomNom,18,324,59,Collided with itself,N/A,N/A,
NomNom,19,136,25,Collided with itself,N/A,N/A,
NomNom,20,253,41,Collided with itself,N/A,N/A,
NomNom,21,276,46,Collided with itself,N/A,N/A,
NomNom,22,152,28,Collided with itself,N/A,N/A,
NomNom,23,144,22,Collided with itself,N/A,N/A,
NomNom,24,191,37,Collided with itself,N/A,N/A,
NomNom,25,255,43,Collided with itself,N/A,N/A,
NomNom,26,339,52,Collided with itself,N/A,N/A,
NomNom,27,326,57,Collided with itself,N/A,N/A,
NomNom,28,230,38,Collided with itself,N/A,N/A,
NomNom,29,333,59,Collided with itself,N/A,N/A,
NomNom,30,339,52,Collided with itself,N/A,N/A,
NomNom v HeadHunter,1,7,4,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,2,114,13,Lost head-to-head with HeadHunter,N,0,
NomNom v HeadHunter,3,15,6,N/A,Y,1,
NomNom v HeadHunter,4,39,9,N/A,Y,1,
NomNom v HeadHunter,5,11,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,6,5,4,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,7,10,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,8,38,7,Lost head-to-head with HeadHunter,N,0,
NomNom v HeadHunter,9,8,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,10,16,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,11,8,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,12,11,6,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,13,9,4,Lost head-to-head with HeadHunter,N,0,
NomNom v HeadHunter,14,12,5,N/A,Y,1,
NomNom v HeadHunter,15,10,6,N/A,Y,1,
NomNom v HeadHunter,16,7,4,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,17,10,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,18,65,11,N/A,Y,1,
NomNom v HeadHunter,19,13,6,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,20,7,4,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,21,8,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,22,14,5,N/A,Y,1,
NomNom v HeadHunter,23,7,4,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,24,35,7,Lost head-to-head with HeadHunter,N,0,
NomNom v HeadHunter,25,35,7,N/A,Y,1,
NomNom v HeadHunter,26,33,5,Lost head-to-head with HeadHunter,N,0,
NomNom v HeadHunter,27,10,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,28,28,6,Lost head-to-head with HeadHunter,N,0,
NomNom v HeadHunter,29,14,5,Lost head-to-head with HeadHunter,T,1,
NomNom v HeadHunter,30,11,4,Lost head-to-head with HeadHunter,N,0,
NomNom v Noodle,1,15,6,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,2,81,11,Lost head-to-head with Noodle,T,1,
NomNom v Noodle,3,134,11,Collided with itself,N,0,
NomNom v Noodle,4,17,5,Lost head-to-head with Noodle,T,1,
NomNom v Noodle,5,85,14,N/A,Y,1,
NomNom v Noodle,6,125,11,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,7,44,9,N/A,Y,1,
NomNom v Noodle,8,80,9,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,9,71,10,Ran into Noodle's body,N,0,
NomNom v Noodle,10,124,10,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,11,70,10,N/A,Y,1,
NomNom v Noodle,12,24,5,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,13,7,4,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,14,108,15,N/A,Y,1,
NomNom v Noodle,15,133,17,Collided with itself,N,0,
NomNom v Noodle,16,36,9,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,17,10,5,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,18,24,6,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,19,79,10,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,20,21,5,Ran into Noodle's body,N,0,
NomNom v Noodle,21,47,9,Collided with itself,N,0,
NomNom v Noodle,22,105,14,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,23,61,10,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,24,45,8,N/A,Y,1,
NomNom v Noodle,25,118,15,Collided with itself,N,0,
NomNom v Noodle,26,89,15,N/A,Y,1,
NomNom v Noodle,27,152,17,N/A,Y,1,
NomNom v Noodle,28,110,12,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,29,118,12,Lost head-to-head with Noodle,N,0,
NomNom v Noodle,30,121,13,N/A,Y,0,
NomNom v Hot Soup,1,285,21,Collided with itself,N,0,
NomNom v Hot Soup,2,9,5,Lost head-to-head with Hot Soup,T,1,
NomNom v Hot Soup,3,84,11,N/A,Y,0,
NomNom v Hot Soup,4,179,20,N/A,Y,0,
NomNom v Hot Soup,5,172,21,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,6,31,6,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,7,149,20,Collided with itself,N,0,
NomNom v Hot Soup,8,99,15,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,9,186,22,N/A,Y,1,
NomNom v Hot Soup,10,17,6,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,11,106,12,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,12,152,14,Collided with itself,N,0,
NomNom v Hot Soup,13,100,12,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,14,28,5,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,15,151,23,Collided with itself,N,0,
NomNom v Hot Soup,16,79,12,N/A,Y,0,
NomNom v Hot Soup,17,19,6,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,18,54,10,Lost head-to-head with Hot Soup,T,1,
NomNom v Hot Soup,19,179,18,Collided with itself,N,0,
NomNom v Hot Soup,20,190,21,N/A,Y,1,
NomNom v Hot Soup,21,19,5,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,22,69,9,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,23,154,16,Ran into Hot Soup's body,N,0,
NomNom v Hot Soup,24,89,15,N/A,Y,1,
NomNom v Hot Soup,25,83,11,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,26,208,23,N/A,Y,1,
NomNom v Hot Soup,27,82,9,N/A,Y,1,
NomNom v Hot Soup,28,79,12,Lost head-to-head with Hot Soup,N,0,
NomNom v Hot Soup,29,280,25,Collided with itself,N,0,
NomNom v Hot Soup,30,193,21,Collided with itself,N,0,
NomNom v HeadHunter v Noodle,1,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,2,81,12,Collided with itself,N,0,
NomNom v HeadHunter v Noodle,3,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,4,11,4,Lost head-to-head with Noodle,N,0,
NomNom v HeadHunter v Noodle,5,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,6,5,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,7,5,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,8,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,9,89,9,Ran into Noodle's body,N,1,
NomNom v HeadHunter v Noodle,10,17,6,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,11,96,11,Lost head-to-head with Noodle,N,1,
NomNom v HeadHunter v Noodle,12,10,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,13,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,14,7,4,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,15,8,5,Lost head-to-head with HeadHunter,N,1,
NomNom v HeadHunter v Noodle,16,44,7,Lost head-to-head with Noodle,N,0,
