Set,Run,Turn #,Length,Death Reason,Win?,# Kills,
Noodle,1,355,51,Moved out of bounds,N/A,N/A,
Noodle,2,252,42,Collided with itself,N/A,N/A,
Noodle,3,374,58,Collided with itself,N/A,N/A,
Noodle,4,291,53,Collided with itself,N/A,N/A,
Noodle,5,366,55,Collided with itself,N/A,N/A,
Noodle,6,297,47,Moved out of bounds,N/A,N/A,
Noodle,7,373,65,Moved out of bounds,N/A,N/A,
Noodle,8,453,65,Collided with itself,N/A,N/A,
Noodle,9,439,63,Collided with itself,N/A,N/A,
Noodle,10,288,44,Collided with itself,N/A,N/A,
Noodle,11,339,51,Collided with itself,N/A,N/A,
Noodle,12,312,51,Collided with itself,N/A,N/A,
Noodle,13,316,57,Collided with itself,N/A,N/A,
Noodle,14,316,56,Collided with itself,N/A,N/A,
Noodle,15,201,38,Moved out of bounds,N/A,N/A,
Noodle,16,309,59,Collided with itself,N/A,N/A,
Noodle,17,295,45,Moved out of bounds,N/A,N/A,
Noodle,18,275,52,Collided with itself,N/A,N/A,
Noodle,19,319,52,Collided with itself,N/A,N/A,
Noodle,20,331,48,Collided with itself,N/A,N/A,
Noodle,21,252,45,Moved out of bounds,N/A,N/A,
Noodle,22,220,43,Collided with itself,N/A,N/A,
Noodle,23,343,52,Moved out of bounds,N/A,N/A,
Noodle,24,325,57,Collided with itself,N/A,N/A,
Noodle,25,378,66,Collided with itself,N/A,N/A,
Noodle,26,333,60,Collided with itself,N/A,N/A,
Noodle,27,297,47,Collided with itself,N/A,N/A,
Noodle,28,367,57,Collided with itself,N/A,N/A,
Noodle,29,404,61,Collided with itself,N/A,N/A,
Noodle,30,253,46,Collided with itself,N/A,N/A,
Noodle v Hot Soup,1,28,4,Lost head-to-head with Hot Soup,N,0,
Noodle v Hot Soup,2,317,36,Moved out of bounds,N,0,
Noodle v Hot Soup,3,177,27,Collided with itself,N,0,
Noodle v Hot Soup,4,12,4,Lost head-to-head with Hot Soup,N,0,
Noodle v Hot Soup,5,243,30,N/A,Y,1,
Noodle v Hot Soup,6,276,33,N/A,Y,1,
Noodle v Hot Soup,7,45,6,Collided with Hot Soup's body,N,0,
Noodle v Hot Soup,8,115,21,N/A,Y,1,
Noodle v Hot Soup,9,48,7,Collided with Hot Soup's body,N,0,
Noodle v Hot Soup,10,281,38,N/A,Y,0,
Noodle v Hot Soup,11,271,31,N/A,Y,0,
Noodle v Hot Soup,12,238,29,N/A,Y,1,
Noodle v Hot Soup,13,256,30,Collided with itself,N,0,
Noodle v Hot Soup,14,221,31,Collided with itself,N,0,
Noodle v Hot Soup,15,176,22,N/A,Y,1,
Noodle v Hot Soup,16,39,6,Moved out of bounds,N,0,
Noodle v Hot Soup,17,280,39,Collided with itself,N,0,
Noodle v Hot Soup,18,243,28,Moved out of bounds,N,0,
Noodle v Hot Soup,19,21,5,Moved out of bounds,N,0,
Noodle v Hot Soup,20,253,26,Collided with Hot Soup's body,N,0,
Noodle v Hot Soup,21,187,22,Collided with Hot Soup's body,N,0,
Noodle v Hot Soup,22,59,12,N/A,Y,1,
Noodle v Hot Soup,23,238,30,N/A,Y,1,
Noodle v Hot Soup,24,107,13,Collided with Hot Soup's body,N,0,
Noodle v Hot Soup,25,258,32,N/A,Y,0,
Noodle v Hot Soup,26,67,9,Moved out of bounds,N,0,
Noodle v Hot Soup,27,190,25,N/A,Y,1,
Noodle v Hot Soup,28,133,19,Moved out of bounds,N,0,
Noodle v Hot Soup,29,101,15,Moved out of bounds,N,0,
Noodle v Hot Soup,30,167,25,N/A,Y,1,
NomNom v Noodle,1,52,7,N/A,Y,1,
NomNom v Noodle,2,81,11,Lost head-to-head with NomNom,T,1,
NomNom v Noodle,3,134,14,N/A,Y,0,
NomNom v Noodle,4,17,5,Lost head-to-head with NomNom,T,1,
NomNom v Noodle,5,85,14,Ran into NomNom's body,N,0,
NomNom v Noodle,6,125,16,N/A,Y,1,
NomNom v Noodle,7,44,8,Lost head-to-head with NomNom,N,0,
NomNom v Noodle,8,80,12,N/A,Y,1,
